#Software: Microsoft Internet Information Services 5.0
#Version: 1.0
#Date: 2003-06-15 02:35:30
#Fields: date time c-ip cs-method cs-uri-stem sc-status sc-bytes cs-bytes time-taken cs-version cs(User-Agent) 
2003-06-15 02:44:18 12.207.208.194 GET /pakistan/thumbnails/06Iranian+mosque.jpg 200 3813 314 532 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:44:18 12.207.208.194 GET /pakistan/thumbnails/filler.jpg 200 1023 302 187 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:44:18 12.207.208.194 GET /pakistan/thumbnails/08new+year's+day+on+beach.+jpg.jpg 200 2396 338 344 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:44:18 12.207.208.194 GET /pakistan/thumbnails/11sunset+fishing+boat.jpg 200 2286 321 297 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:44:18 12.207.208.194 GET /pakistan/thumbnails/12weddingnight.jpg 200 2721 310 313 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:44:18 12.207.208.194 GET /pakistan/thumbnails/14paul+on+roof.jpg 200 1616 314 62 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:44:19 12.207.208.194 GET /pakistan/thumbnails/13floor+finishers.jpg 200 2626 315 406 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:44:19 12.207.208.194 GET /pakistan/thumbnails/15scafold.jpg 200 3547 305 265 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:44:19 12.207.208.194 GET /pakistan/thumbnails/16courtyard.jpg 200 3332 307 234 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:44:19 12.207.208.194 GET /pakistan/thumbnails/17Old+City+street+scene.jpg 200 3097 325 203 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:44:19 12.207.208.194 GET /pakistan/thumbnails/19camel+cart.jpg 200 2280 310 313 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:44:19 12.207.208.194 GET /pakistan/thumbnails/20masai+village.jpg 200 2401 313 312 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:44:20 12.207.208.194 GET /pakistan/thumbnails/21jumping+with+masai.jpg 200 4665 320 515 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:44:20 12.207.208.194 GET /pakistan/thumbnails/22our+group.jpg 200 3650 309 532 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:44:20 12.207.208.194 GET /pakistan/thumbnails/23elephant+stud.jpg 200 3082 313 250 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:44:20 12.207.208.194 GET /pakistan/thumbnails/24lions+on+road.jpg 200 2952 315 265 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:44:20 12.207.208.194 GET /pakistan/thumbnails/25playingcards_hippo_mara.jpg 200 3536 321 234 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:44:32 12.207.208.194 GET /pakistan/pages/11sunset+fishing+boat.htm 200 1658 487 125 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:44:32 12.207.208.194 GET /pakistan/images/previous.gif 200 610 326 93 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:44:32 12.207.208.194 GET /pakistan/images/home.gif 200 614 322 109 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:44:32 12.207.208.194 GET /pakistan/images/next.gif 200 600 322 203 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:44:36 12.207.208.194 GET /pakistan/images/11sunset+fishing+boat.jpg 200 26739 343 3469 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:45:08 12.207.208.194 GET /images/bg_gradient_home.jpg 304 140 397 0 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:45:08 12.207.208.194 GET /images/journaling2.gif 304 141 393 0 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:45:12 12.207.208.194 GET /images/ethiopia.jpg 200 22058 302 3375 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:45:12 12.207.208.194 GET /images/map_BG.jpg 304 141 388 0 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:45:16 12.207.208.194 GET /ethiopia/ethiopia_journal.htm 200 56081 454 7547 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:45:21 12.207.208.194 GET /ethiopia/thumbnails/01Addis+bus+station.jpg 200 2294 319 360 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:45:21 12.207.208.194 GET /ethiopia/index.htm 200 8326 229 1203 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:45:21 12.207.208.194 GET /ethiopia/thumbnails/02roadside+ping+pong.jpg 200 3114 320 265 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:45:21 12.207.208.194 GET /ethiopia/thumbnails/03Blue+Nile+Falls.jpg 200 3209 317 235 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:45:21 12.207.208.194 GET /ethiopia/thumbnails/05Ababa+roasting+coffee+beans.jpg 200 3441 331 266 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:45:22 12.207.208.194 GET /ethiopia/thumbnails/04Bahar+Dar+Timket+parade.jpg 200 4323 327 640 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:45:22 12.207.208.194 GET /ethiopia/thumbnails/07jumping+rope+in+courtyard.jpg 200 3345 329 250 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:45:23 12.207.208.194 GET /ethiopia/thumbnails/06sorting+beans+in+courtyard.jpg 200 3629 330 484 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:45:23 12.207.208.194 GET /ethiopia/thumbnails/08B's+injera.jpg 200 2924 312 328 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:45:23 12.207.208.194 GET /ethiopia/thumbnails/09Annie+spinning.jpg 200 3390 314 266 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:45:23 12.207.208.194 GET /ethiopia/thumbnails/11village+horizontal.jpg 200 1667 318 62 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:45:23 12.207.208.194 GET /ethiopia/thumbnails/12town+from+church.jpg 200 3190 318 266 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:45:23 12.207.208.194 GET /ethiopia/thumbnails/10Debre+Berhan+Selasie+ceiling.jpg 200 3908 332 484 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:45:23 12.207.208.194 GET /ethiopia/thumbnails/14_7th+graders+at+home.jpg 200 2030 324 79 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:45:24 12.207.208.194 GET /ethiopia/thumbnails/15hike+from+home.jpg 200 2137 316 94 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:45:24 12.207.208.194 GET /ethiopia/thumbnails/13Admasi+houses.jpg 200 2883 313 422 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:45:24 12.207.208.194 GET /ethiopia/thumbnails/16jaegew+and+cows.jpg 200 3123 317 219 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:45:24 12.207.208.194 GET /ethiopia/thumbnails/17kesi+admasi+casi.jpg 200 3412 318 329 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:45:24 12.207.208.194 GET /ethiopia/thumbnails/18maganite+basket+weaving.jpg 200 3154 325 250 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:45:24 12.207.208.194 GET /ethiopia/thumbnails/20church+-+men's+entrance.jpg 200 3099 329 235 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:45:25 12.207.208.194 GET /ethiopia/thumbnails/22coffee+shop+girls.jpg 200 3226 319 235 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:45:25 12.207.208.194 GET /ethiopia/thumbnails/21church+painting.jpg 200 4371 315 547 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:45:25 12.207.208.194 GET /ethiopia/thumbnails/19congregation.jpg 200 3372 310 297 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:45:25 12.207.208.194 GET /ethiopia/thumbnails/23school+kids+w-b.jpg 200 3733 317 594 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:45:33 12.207.208.194 GET /ethiopia/pages/03Blue+Nile+Falls.htm 200 1845 483 109 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:45:33 12.207.208.194 GET /ethiopia/images/previous.gif 200 609 322 78 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:45:33 12.207.208.194 GET /ethiopia/images/home.gif 200 614 318 172 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:45:33 12.207.208.194 GET /ethiopia/images/next.gif 200 600 318 172 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:45:40 12.207.208.194 GET /ethiopia/images/03Blue+Nile+Falls.jpg 200 47748 335 6687 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:46:24 12.207.208.194 GET /homeschool.htm 200 6241 439 718 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:46:24 12.207.208.194 GET /images/header.gif 200 2014 285 62 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:46:24 12.207.208.194 GET /images/bg_gradient_home.jpg 304 140 382 0 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:46:24 12.207.208.194 GET /images/northwestschoollogo.jpg 200 4461 298 453 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:46:24 12.207.208.194 GET /images/map_BG.jpg 304 141 373 0 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 02:46:28 12.207.208.194 GET /images/northwestschool.jpg 200 21231 294 3063 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.0;+Windows+98;+DigExt)
2003-06-15 14:18:27 64.156.198.78 GET /index.htm 200 7827 129 1437 HTTP/1.1 Mozilla/5.0+(compatible;+Konqueror/3.1-rc3;+i686+Linux;+20020520)
