#Software: Microsoft Internet Information Services 5.0
#Version: 1.0
#Date: 2003-09-30 18:49:20
#Fields: date time c-ip cs-method cs-uri-stem sc-status sc-bytes cs-bytes time-taken cs-version cs(User-Agent) 
2003-09-30 23:50:09 63.195.88.133 GET /turkey/thumbnails/07_Men+in+Kayseri+Cavanaserai.jpg 200 3640 683 422 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:50:10 63.195.88.133 GET /turkey/thumbnails/08_Men+with+prayer+beads.jpg 200 1826 678 313 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:50:10 63.195.88.133 GET /turkey/thumbnails/09_Fairy+chimney+house.jpg 200 3131 674 313 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:50:10 63.195.88.133 GET /turkey/thumbnails/10_Fatih's+summerhouse.jpg 200 3494 674 438 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:50:10 63.195.88.133 GET /turkey/thumbnails/11_old+part+of+Guzelyurt.jpg 200 3354 678 484 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:50:10 63.195.88.133 GET /turkey/thumbnails/12_Guzelyurt.jpg 200 3016 660 453 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:50:10 63.195.88.133 GET /turkey/thumbnails/13_Ramazan+Feast.jpg 200 3403 666 656 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:50:10 63.195.88.133 GET /turkey/thumbnails/14_Mohamed+and+Pushla.jpg 200 3801 673 546 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:50:10 63.195.88.133 GET /turkey/thumbnails/15_Kalburlu+Church+exterior.jpg 200 3105 679 485 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
2003-09-30 23:50:11 63.195.88.133 GET /turkey/thumbnails/16_Kalburlu+Church+interior.jpg 200 3590 679 515 HTTP/1.1 Mozilla/5.0+(Macintosh;+U;+PPC+Mac+OS+X;+en-us)+AppleWebKit/85+(KHTML,+like+Gecko)+Safari/85
