#Software: Microsoft Internet Information Services 5.0
#Version: 1.0
#Date: 2003-03-15 04:55:26
#Fields: date time c-ip cs-method cs-uri-stem sc-status sc-bytes cs-bytes time-taken cs-version cs(User-Agent) 
2003-03-15 06:22:55 216.58.207.209 GET /turkey/pages/09_Fairy+chimney+house.htm 200 1702 489 437 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 06:23:05 216.58.207.209 GET /turkey/images/09_Fairy+chimney+house.jpg 200 42022 356 8890 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 06:23:12 216.58.207.209 GET /turkey/pages/10_Fatih's+summerhouse.htm 200 1654 485 406 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 06:23:23 216.58.207.209 GET /turkey/images/10_Fatih's+summerhouse.jpg 200 48172 356 9797 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 06:23:43 216.58.207.209 GET /turkey/pages/11_old+part+of+Guzelyurt.htm 200 1673 489 422 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 06:23:57 216.58.207.209 GET /turkey/images/11_old+part+of+Guzelyurt.jpg 200 63144 364 12890 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 06:24:05 216.58.207.209 GET /turkey/pages/12_Guzelyurt.htm 200 1471 475 391 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 06:24:15 216.58.207.209 GET /turkey/images/12_Guzelyurt.jpg 200 47273 328 9625 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 06:24:24 216.58.207.209 GET /turkey/pages/13_Ramazan+Feast.htm 200 1789 463 437 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 06:24:35 216.58.207.209 GET /turkey/images/13_Ramazan+Feast.jpg 200 48563 340 10031 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 06:24:50 216.58.207.209 GET /turkey/pages/14_Mohamed+and+Pushla.htm 200 1628 476 407 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 06:25:03 216.58.207.209 GET /turkey/images/14_Mohamed+and+Pushla.jpg 200 60462 354 12328 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 06:25:06 216.58.207.209 GET /turkey/pages/15_Kalburlu+Church+exterior.htm 200 1876 489 468 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 06:25:17 216.58.207.209 GET /turkey/images/15_Kalburlu+Church+exterior.jpg 200 51531 366 10610 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
2003-03-15 06:25:41 216.58.207.209 GET /turkey/pages/16_Kalburlu+Church+interior.htm 200 1882 495 453 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+.NET+CLR+1.0.3705)
