#Software: Microsoft Internet Information Services 5.0
#Version: 1.0
#Date: 2004-07-16 04:04:49
#Fields: date time c-ip cs-method cs-uri-stem sc-status sc-bytes cs-bytes time-taken cs-version cs(User-Agent) 
2004-07-16 04:04:49 66.194.6.72 GET /index.htm 200 7827 129 125 HTTP/1.1 Mozilla/5.0+(compatible;+Konqueror/3.0-rc2;+i686+Linux;+20021119)
2004-07-16 17:16:14 65.116.71.233 GET /ethiopia/pages/10Debre+Berhan+Selasie+ceiling.htm 200 1786 525 141 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0;+.NET+CLR+1.0.3705;+.NET+CLR+1.1.4322)
2004-07-16 17:16:17 65.116.71.233 GET /ethiopia/images/10Debre+Berhan+Selasie+ceiling.jpg 200 73600 383 2344 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0;+.NET+CLR+1.0.3705;+.NET+CLR+1.1.4322)
2004-07-16 17:16:28 65.116.71.233 GET /ethiopia/pages/11village+horizontal.htm 200 1677 529 250 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0;+.NET+CLR+1.0.3705;+.NET+CLR+1.1.4322)
2004-07-16 17:16:28 65.116.71.233 GET /ethiopia/images/11village+horizontal.jpg 200 14566 355 547 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0;+.NET+CLR+1.0.3705;+.NET+CLR+1.1.4322)
2004-07-16 17:16:52 65.116.71.233 GET /ethiopia/pages/12town+from+church.htm 200 1937 515 125 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0;+.NET+CLR+1.0.3705;+.NET+CLR+1.1.4322)
2004-07-16 17:16:54 65.116.71.233 GET /ethiopia/images/12town+from+church.jpg 200 54254 355 1657 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0;+.NET+CLR+1.0.3705;+.NET+CLR+1.1.4322)
2004-07-16 17:17:12 65.116.71.233 GET /ethiopia/pages/13Admasi+houses.htm 200 1595 510 94 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0;+.NET+CLR+1.0.3705;+.NET+CLR+1.1.4322)
2004-07-16 17:17:14 65.116.71.233 GET /ethiopia/images/13Admasi+houses.jpg 200 48743 345 1703 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0;+.NET+CLR+1.0.3705;+.NET+CLR+1.1.4322)
2004-07-16 17:17:23 65.116.71.233 GET /ethiopia/pages/14_7th+graders+at+home.htm 200 1581 516 94 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0;+.NET+CLR+1.0.3705;+.NET+CLR+1.1.4322)
2004-07-16 17:17:23 65.116.71.233 GET /ethiopia/images/14_7th+graders+at+home.jpg 200 20085 367 672 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0;+.NET+CLR+1.0.3705;+.NET+CLR+1.1.4322)
2004-07-16 17:17:34 65.116.71.233 GET /ethiopia/pages/15hike+from+home.htm 200 1675 519 110 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0;+.NET+CLR+1.0.3705;+.NET+CLR+1.1.4322)
2004-07-16 17:17:35 65.116.71.233 GET /ethiopia/images/15hike+from+home.jpg 200 28975 351 985 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0;+.NET+CLR+1.0.3705;+.NET+CLR+1.1.4322)
2004-07-16 17:17:51 65.116.71.233 GET /ethiopia/pages/16jaegew+and+cows.htm 200 1656 512 125 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0;+.NET+CLR+1.0.3705;+.NET+CLR+1.1.4322)
2004-07-16 17:17:53 65.116.71.233 GET /ethiopia/images/16jaegew+and+cows.jpg 200 51594 353 1625 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0;+.NET+CLR+1.0.3705;+.NET+CLR+1.1.4322)
2004-07-16 17:18:06 65.116.71.233 GET /ethiopia/pages/17kesi+admasi+casi.htm 200 1736 514 296 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0;+.NET+CLR+1.0.3705;+.NET+CLR+1.1.4322)
2004-07-16 17:18:08 65.116.71.233 GET /ethiopia/images/17kesi+admasi+casi.jpg 200 67238 355 2110 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0;+.NET+CLR+1.0.3705;+.NET+CLR+1.1.4322)
2004-07-16 17:18:21 65.116.71.233 GET /ethiopia/pages/18maganite+basket+weaving.htm 200 1668 522 125 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0;+.NET+CLR+1.0.3705;+.NET+CLR+1.1.4322)
2004-07-16 17:18:23 65.116.71.233 GET /ethiopia/images/18maganite+basket+weaving.jpg 200 50786 369 1610 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0;+.NET+CLR+1.0.3705;+.NET+CLR+1.1.4322)
2004-07-16 17:18:44 65.116.71.233 GET /ethiopia/pages/19congregation.htm 200 1509 514 109 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0;+.NET+CLR+1.0.3705;+.NET+CLR+1.1.4322)
2004-07-16 17:18:46 65.116.71.233 GET /ethiopia/images/19congregation.jpg 200 58288 339 1843 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0;+.NET+CLR+1.0.3705;+.NET+CLR+1.1.4322)
2004-07-16 17:19:00 65.116.71.233 GET /ethiopia/pages/20church+-+men's+entrance.htm 200 1654 518 94 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0;+.NET+CLR+1.0.3705;+.NET+CLR+1.1.4322)
2004-07-16 17:19:02 65.116.71.233 GET /ethiopia/images/20church+-+men's+entrance.jpg 200 48162 377 1579 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0;+.NET+CLR+1.0.3705;+.NET+CLR+1.1.4322)
2004-07-16 17:19:12 65.116.71.233 GET /ethiopia/pages/21church+painting.htm 200 1742 523 94 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0;+.NET+CLR+1.0.3705;+.NET+CLR+1.1.4322)
2004-07-16 17:19:14 65.116.71.233 GET /ethiopia/images/21church+painting.jpg 200 47708 349 1516 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0;+.NET+CLR+1.0.3705;+.NET+CLR+1.1.4322)
2004-07-16 17:19:36 65.116.71.233 GET /ethiopia/pages/22coffee+shop+girls.htm 200 1651 513 125 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0;+.NET+CLR+1.0.3705;+.NET+CLR+1.1.4322)
2004-07-16 17:19:37 65.116.71.233 GET /ethiopia/images/22coffee+shop+girls.jpg 200 48267 357 1500 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0;+.NET+CLR+1.0.3705;+.NET+CLR+1.1.4322)
2004-07-16 17:19:46 65.116.71.233 GET /ethiopia/pages/23school+kids+w-b.htm 200 1539 515 109 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0;+.NET+CLR+1.0.3705;+.NET+CLR+1.1.4322)
2004-07-16 17:19:48 65.116.71.233 GET /ethiopia/images/23school+kids+w-b.jpg 200 60511 353 1922 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0;+.NET+CLR+1.0.3705;+.NET+CLR+1.1.4322)
2004-07-16 17:20:10 65.116.71.233 GET /ethiopia/pages/01Addis+bus+station.htm 200 1665 493 219 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0;+.NET+CLR+1.0.3705;+.NET+CLR+1.1.4322)
2004-07-16 17:20:10 65.116.71.233 GET /ethiopia/pages/01Addis+bus+station.htm 200 1665 493 781 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0;+.NET+CLR+1.0.3705;+.NET+CLR+1.1.4322)
2004-07-16 17:20:10 65.116.71.233 GET /ethiopia/images/01Addis+bus+station.jpg 200 24528 357 906 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0;+.NET+CLR+1.0.3705;+.NET+CLR+1.1.4322)
2004-07-16 17:53:12 65.116.71.233 GET /images/journaling2.gif 200 2312 323 454 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0;+.NET+CLR+1.0.3705;+.NET+CLR+1.1.4322)
2004-07-16 17:53:15 65.116.71.233 GET /ethiopia/ethiopia_journal.htm 200 56105 462 2359 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0;+.NET+CLR+1.0.3705;+.NET+CLR+1.1.4322)
