#Software: Microsoft Internet Information Services 5.0
#Version: 1.0
#Date: 2003-06-10 06:21:26
#Fields: date time c-ip cs-method cs-uri-stem sc-status sc-bytes cs-bytes time-taken cs-version cs(User-Agent) 
2003-06-10 11:29:51 80.11.67.75 GET /laos/thumbnails/12_Nam+Ou+River+in+the+mist.jpg 304 141 422 16 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:29:51 80.11.67.75 GET /laos/thumbnails/13_Ban+Soupjem+main+street.jpg 304 141 417 16 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:29:51 80.11.67.75 GET /laos/thumbnails/14_burning+fields+-+looking+across+river.jpg 304 140 434 0 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:29:52 80.11.67.75 GET /laos/thumbnails/15_Phouy+fishing.jpg 304 140 402 15 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:29:52 80.11.67.75 GET /laos/thumbnails/16_Phouy+fixing+net.jpg 304 141 408 32 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:29:52 80.11.67.75 GET /laos/thumbnails/17_woman+tossing+rice.jpg 304 141 410 16 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:29:52 80.11.67.75 GET /laos/thumbnails/18_La+cooking.jpg 304 141 400 15 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:29:52 80.11.67.75 GET /laos/thumbnails/19_little+one+in+kitchen.jpg 304 141 415 16 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:29:52 80.11.67.75 GET /laos/thumbnails/20_girls+line+up.jpg 304 141 405 0 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:29:53 80.11.67.75 GET /laos/thumbnails/21_small+scale+hydro.jpg 304 141 409 16 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:29:53 80.11.67.75 GET /laos/thumbnails/22_Making+turbine+shaft.jpg 304 141 412 0 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:29:53 80.11.67.75 GET /laos/thumbnails/23_hanging+elec+wires.jpg 304 141 410 15 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:29:53 80.11.67.75 GET /laos/thumbnails/24_Eun+Huean+weaving.jpg 304 141 409 16 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:29:53 80.11.67.75 GET /laos/thumbnails/25_woman+helping+annie+weave.jpg 304 141 419 32 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:29:53 80.11.67.75 GET /laos/thumbnails/26_the+finished+fabric.jpg 304 141 411 16 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:29:54 80.11.67.75 GET /laos/thumbnails/27_Phouy+weaving+basket.jpg 304 141 412 16 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:29:54 80.11.67.75 GET /laos/thumbnails/28_water+buffalo+at+Phouys+rice+field.jpg 304 141 432 0 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:29:54 80.11.67.75 GET /laos/thumbnails/29_wedding+party.jpg 304 141 403 15 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:29:54 80.11.67.75 GET /laos/thumbnails/30_blessing+ceremony.jpg 304 141 407 16 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
2003-06-10 11:29:54 80.11.67.75 GET /laos/thumbnails/31_blessing+toast.jpg 304 141 404 15 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+Wanadoo+5.5)
